old_offer_id,new_article,product_group,garment,hoodie_fit,hoodie_fabric,size,ozon_sku,design_key
"var14-White-L","D014-TSH-EMB-WHT-V01-L","Футболка Наруто с вышивкой Madara Белая","tshirt","","","L","3134088673","var14|embroidery|tshirt|white"
"var15-Print-White-L","D015-TSH-PRT-WHT-V01-L","Футболка с принтом Наруто Белая","tshirt","","","L","3134088645","var15|print|tshirt|white"
"var15-Print-White-M","D015-TSH-PRT-WHT-V01-M","Футболка с принтом Наруто Белая","tshirt","","","M","3134089346","var15|print|tshirt|white"
"var15-Print-White-S","D015-TSH-PRT-WHT-V01-S","Футболка с принтом Наруто Белая","tshirt","","","S","3134088371","var15|print|tshirt|white"
"var15-Print-White-XL","D015-TSH-PRT-WHT-V01-XL","Футболка с принтом Наруто Белая","tshirt","","","XL","3134089504","var15|print|tshirt|white"
"var16-Print-WBeige-S","D016-TSH-PRT-WBEG-V01-S","Вареная бежевая футболка с принтом Сатору годжо","tshirt","","","S","3611599067","var16|print|tshirt|washed-beige"
"var16-Print-WBeige-XXL","D016-TSH-PRT-WBEG-V01-2XL","Вареная бежевая футболка с принтом Сатору годжо","tshirt","","","2XL","3611635265","var16|print|tshirt|washed-beige"
"var16","D016-TSH-PRT-WGRY-V01-ONE","Вареная серая футболка с принтом Сатору годжо","tshirt","","","ONE","3134088437","var16|print|tshirt|washed-grey"
"var16-Print-GreyW-L","D016-TSH-PRT-WGRY-V01-L","Вареная серая футболка с принтом Сатору годжо","tshirt","","","L","3574231906","var16|print|tshirt|washed-grey"
"var16-Print-GreyW-M","D016-TSH-PRT-WGRY-V01-M","Вареная серая футболка с принтом Сатору годжо","tshirt","","","M","3574095835","var16|print|tshirt|washed-grey"
